4,4,1,4,WRITE BACK,WRITE ALLOCATE,782764,782764,1.0000,782763,217237,204118,0.9396,204117,986882,65759
8,8,2,4,WRITE BACK,WRITE ALLOCATE,782764,782764,1.0000,782762,217237,185640,0.8546,185638,968404,64499
16,16,4,4,WRITE BACK,WRITE ALLOCATE,782764,780135,0.9966,780131,217237,160277,0.7378,160273,940412,61780
32,32,8,4,WRITE BACK,WRITE ALLOCATE,782764,774870,0.9899,774862,217237,137747,0.6341,137739,912617,55950
64,64,16,4,WRITE BACK,WRITE ALLOCATE,782764,576445,0.7364,576429,217237,119032,0.5479,119016,695477,49991
128,128,32,4,WRITE BACK,WRITE ALLOCATE,782764,494190,0.6313,494158,217237,100030,0.4605,99998,594220,41819
256,256,64,4,WRITE BACK,WRITE ALLOCATE,782764,426746,0.5452,426682,217237,59898,0.2757,59834,486644,27201
512,512,128,4,WRITE BACK,WRITE ALLOCATE,782764,362575,0.4632,362447,217237,33711,0.1552,33583,396286,17750
1024,1024,256,4,WRITE BACK,WRITE ALLOCATE,782764,191922,0.2452,191666,217237,19993,0.0920,19737,211915,9784
2048,2048,512,4,WRITE BACK,WRITE ALLOCATE,782764,107987,0.1380,107475,217237,10170,0.0468,9658,118157,5703
4096,4096,1024,4,WRITE BACK,WRITE ALLOCATE,782764,73811,0.0943,72787,217237,7475,0.0344,6451,81286,4708
8192,8192,2048,4,WRITE BACK,WRITE ALLOCATE,782764,19782,0.0253,17734,217237,5950,0.0274,3902,25732,3977
16384,16384,4096,4,WRITE BACK,WRITE ALLOCATE,782764,10620,0.0136,6524,217237,4225,0.0194,129,14845,3029
32768,32768,8192,4,WRITE BACK,WRITE ALLOCATE,782764,8964,0.0115,772,217237,4225,0.0194,0,13189,3029
65536,65536,16384,4,WRITE BACK,WRITE ALLOCATE,782764,8964,0.0115,0,217237,4225,0.0194,0,13189,3029
131072,131072,32768,4,WRITE BACK,WRITE ALLOCATE,782764,8964,0.0115,0,217237,4225,0.0194,0,13189,3029
262144,262144,65536,4,WRITE BACK,WRITE ALLOCATE,782764,8964,0.0115,0,217237,4225,0.0194,0,13189,3029
524288,524288,131072,4,WRITE BACK,WRITE ALLOCATE,782764,8964,0.0115,0,217237,4225,0.0194,0,13189,3029
1048576,1048576,262144,4,WRITE BACK,WRITE ALLOCATE,782764,8964,0.0115,0,217237,4225,0.0194,0,13189,3029
